species,fxn,source,family,formula,min_depth,max_depth,min_latitude,max_latitude,min_year,max_year,anisotropy,knots,spatiotemporal1,spatiotemporal2,share_range,used
splitnose rockfish,"nwfscSurvey::pull_catch(common_name = species,survey=source)",NWFSC.Combo,sdmTMB::delta_lognormal(),catch_weight ~ 0 + fyear + pass_scaled,-55,-700,31.9,49,2003,2050,TRUE,500,iid,iid,FALSE,FALSE
stripetail rockfish,"nwfscSurvey::pull_catch(common_name = species,survey=source)",NWFSC.Combo,sdmTMB::delta_gamma(),catch_weight ~ 0 + fyear,-55,-500,31.9,49,2003,2050,TRUE,500,off,iid,FALSE,FALSE
widow rockfish,"nwfscSurvey::pull_catch(common_name = species,survey=source)",NWFSC.Combo,sdmTMB::delta_lognormal(),catch_weight ~ 0 + fyear + pass_scaled,-55,-500,33.5,49,2003,2050,FALSE,200,iid,off,TRUE,TRUE
yelloweye rockfish,"nwfscSurvey::pull_catch(common_name = species,survey=source)",NWFSC.Combo,sdmTMB::delta_gamma(),catch_weight ~ 0 + fyear + pass_scaled,-55,-325,34.5,49,2003,2050,TRUE,200,off,off,TRUE,FALSE
yelloweye rockfish,"nwfscSurvey::pull_catch(common_name = species,survey=source)",NWFSC.Combo,sdmTMB::delta_lognormal(),catch_weight ~ 0 + fyear + pass_scaled,-55,-325,42,49,2003,2050,FALSE,200,off,off,TRUE,TRUE
yellowtail rockfish,"nwfscSurvey::pull_catch(common_name = species,survey=source)",NWFSC.Combo,sdmTMB::delta_gamma(),catch_weight ~ 0 + fyear*split_mendocino + pass_scaled,-55,-425,33.5,49,2003,2050,TRUE,400,iid,off,TRUE,FALSE
yellowtail rockfish,"nwfscSurvey::pull_catch(common_name = species,survey=source)",NWFSC.Combo,sdmTMB::delta_lognormal(),catch_weight ~ 0 + fyear*split_mendocino + pass_scaled,-55,-425,33.5,49,2003,2050,TRUE,400,iid,off,TRUE,TRUE
yellowtail rockfish,"nwfscSurvey::pull_catch(common_name = species,survey=source)",NWFSC.Combo,sdmTMB::delta_lognormal(),catch_weight ~ 0 + fyear + pass_scaled,-55,-425,40.1667,49,2003,2050,TRUE,400,iid,off,TRUE,FALSE
yellowtail rockfish,"nwfscSurvey::pull_catch(common_name = species,survey=source)",NWFSC.Combo,sdmTMB::delta_gamma(),catch_weight ~ 0 + fyear + pass_scaled,-55,-425,40.1667,49,2003,2050,TRUE,400,iid,off,TRUE,FALSE
yellowtail rockfish,"nwfscSurvey::pull_catch(common_name = species,survey=source)",Triennial,sdmTMB::delta_gamma(),catch_weight ~ 0 + fyear*split_mendocino,-55,-425,33.5,49,1980,2050,TRUE,400,iid,off,TRUE,FALSE
yellowtail rockfish,"nwfscSurvey::pull_catch(common_name = species,survey=source)",Triennial,sdmTMB::delta_lognormal(),catch_weight ~ 0 + fyear*split_mendocino,-55,-425,33.5,49,1980,2050,TRUE,400,iid,off,TRUE,TRUE
widow rockfish,"nwfscSurvey::pull_catch(common_name = species,survey=source)",NWFSC.Combo,sdmTMB::delta_gamma(),catch_weight ~ 0 + fyear + pass_scaled,-55,-500,33.5,49,2003,2050,FALSE,200,iid,off,TRUE,FALSE
